fold,batch,seed,acc,subject,K
1,2,0,86.66666666666667,S01,90
1,2,1,88.88888888888889,S01,90
1,2,2,88.33333333333333,S01,90
1,2,3,88.88888888888889,S01,90
1,2,4,89.44444444444444,S01,90
1,2,5,89.44444444444444,S01,90
1,2,6,88.33333333333333,S01,90
1,2,7,88.88888888888889,S01,90
1,3,0,91.66666666666666,S01,90
1,3,1,92.77777777777777,S01,90
1,3,2,93.33333333333333,S01,90
1,3,3,93.33333333333333,S01,90
1,3,4,92.77777777777779,S01,90
1,3,5,92.77777777777779,S01,90
1,3,6,93.88888888888887,S01,90
1,3,7,93.88888888888887,S01,90
1,4,0,93.88888888888887,S01,90
1,4,1,89.99999999999999,S01,90
1,4,2,93.88888888888887,S01,90
1,4,3,91.66666666666666,S01,90
1,4,4,91.66666666666666,S01,90
1,4,5,91.66666666666666,S01,90
1,4,6,93.88888888888887,S01,90
1,4,7,91.66666666666666,S01,90
1,5,0,85.00000000000001,S01,90
1,5,1,83.33333333333334,S01,90
1,5,2,83.88888888888889,S01,90
1,5,3,82.22222222222221,S01,90
1,5,4,83.33333333333334,S01,90
1,5,5,82.77777777777779,S01,90
1,5,6,82.22222222222223,S01,90
1,5,7,80.0,S01,90
2,2,0,79.44444444444446,S01,90
2,2,1,79.44444444444446,S01,90
2,2,2,80.0,S01,90
2,2,3,70.0,S01,90
2,2,4,67.77777777777777,S01,90
2,2,5,81.11111111111111,S01,90
2,2,6,80.55555555555556,S01,90
2,2,7,81.11111111111111,S01,90
2,3,0,81.11111111111111,S01,90
2,3,1,83.88888888888889,S01,90
2,3,2,85.00000000000001,S01,90
2,3,3,82.77777777777777,S01,90
2,3,4,83.88888888888889,S01,90
2,3,5,81.66666666666667,S01,90
2,3,6,81.11111111111111,S01,90
2,3,7,80.55555555555556,S01,90
2,4,0,76.66666666666666,S01,90
2,4,1,79.44444444444444,S01,90
2,4,2,81.11111111111111,S01,90
2,4,3,75.55555555555557,S01,90
2,4,4,82.22222222222223,S01,90
2,4,5,76.66666666666666,S01,90
2,4,6,78.33333333333333,S01,90
2,4,7,78.33333333333333,S01,90
2,5,0,74.44444444444444,S01,90
2,5,1,76.11111111111111,S01,90
2,5,2,75.55555555555556,S01,90
2,5,3,75.0,S01,90
2,5,4,74.44444444444444,S01,90
2,5,5,74.44444444444444,S01,90
2,5,6,76.11111111111111,S01,90
2,5,7,73.88888888888889,S01,90
3,2,0,87.77777777777777,S01,90
3,2,1,84.44444444444446,S01,90
3,2,2,87.77777777777777,S01,90
3,2,3,88.33333333333333,S01,90
3,2,4,87.22222222222223,S01,90
3,2,5,86.66666666666667,S01,90
3,2,6,86.11111111111111,S01,90
3,2,7,87.22222222222223,S01,90
3,3,0,85.55555555555556,S01,90
3,3,1,88.88888888888889,S01,90
3,3,2,86.66666666666667,S01,90
3,3,3,86.66666666666667,S01,90
3,3,4,87.22222222222223,S01,90
3,3,5,87.22222222222223,S01,90
3,3,6,87.77777777777777,S01,90
3,3,7,88.88888888888889,S01,90
3,4,0,89.99999999999999,S01,90
3,4,1,89.44444444444444,S01,90
3,4,2,89.99999999999999,S01,90
3,4,3,89.99999999999999,S01,90
3,4,4,89.99999999999999,S01,90
3,4,5,90.55555555555554,S01,90
3,4,6,89.44444444444444,S01,90
3,4,7,88.88888888888889,S01,90
3,5,0,84.44444444444444,S01,90
3,5,1,85.00000000000001,S01,90
3,5,2,86.11111111111111,S01,90
3,5,3,85.00000000000001,S01,90
3,5,4,83.88888888888889,S01,90
3,5,5,85.55555555555556,S01,90
3,5,6,85.55555555555556,S01,90
3,5,7,85.55555555555556,S01,90
